athens, greece, baghdad, iraq, ['iraq', 'al', 'abbasid', 'battery', 'province', 'international', 'caliph', 'caliphs', 'iraqi', 'airport', 'batteries', 'saddam', 'intelligence', 'tigris', 'arab', 'under', 'muslim', 'islamic', 'capture', 'include']
athens, greece, bangkok, thailand, ['thailand', 'post', 'hong', 'singapore', 'taipei', 'international', 'week', 'wales', 'turkish', 'incident', 'sung', 'qantas', 'pyongyang', 'varig', 'thai', 'pacific', 'beijing', 'basel', 'air', 'airways']
athens, greece, beijing, china, ['china', 's', 'university', 'chinese', 'urban', 'capital', 'technology', 'dialect', 'are', 'travel', 'english', 'opera', 'image', 'mandarin', 'municipality', 'include', 'government', 'cbd', 'pictures', 'photos']
athens, greece, berlin, germany, ['the', 'in', 'one', 'nine', 'and', 's', 'of', 'west', 'wall', 'eight', 'east', 'germany', 'zero', 'to', 'two', 'a', 'three', 'five', 'six', 'german']
athens, greece, bern, switzerland, ['switzerland', 'berne', 'wisconsin', 'canton', 'township', 'oppidum', 'swiss', 'kansas', 'york', 'indiana', 'einstein', 'htl', 'cornwall', 'bernstein', 'habitats', 'ne', 'pennsylvania', 'lonergan', 'engineering', 'von']
athens, greece, cairo, egypt, ['egypt', 'al', 'alexandria', 'africa', 'nile', 'conference', 'egyptian', 'arab', 'coptic', 'american', 'arabic', 'capital', 'gaza', 'hotels', 'damascus', 'cape', 'live', 'image', 'international', 'el']
athens, greece, canberra, australia, ['australia', 'australian', 'capital', 'house', 'act', 'studies', 'memorial', 'outside', 'de', 'sydney', 'carta', 'f', 'liner', 'technology', 'melbourne', 'territory', 'parliament', 'darwin', 'magna', 'administered']
athens, greece, hanoi, vietnam, ['vietnam', 'rocks', 'penh', 'vientiane', 'bombing', 'drummer', 'moscow', 'phnom', 'singer', 'rejected', 'sky', 'han', 'verbal', 'regimes', 'sac', 'hanja', 'undefended', 'arrival', 'outside', 'monroe']
athens, greece, havana, cuba, ['cuba', 'embassy', 'cuban', 'economy', 'bay', 'around', 'castro', 'seeking', 'via', 'province', 'mexico', 'shorthair', 'spanish', 'man', 'charles', 'our', 'luciano', 'exchanged', 'dominates', 'zimmerman']
athens, greece, helsinki, finland, ['finland', 'university', 'image', 'vantaa', 'metropolitan', 'jpg', 'finnish', 'technology', 'fi', 's', 'capital', 'espoo', 'sweden', 'cathedral', 'airport', 'business', 'station', 'l', 'webcam', 'map']
athens, greece, islamabad, pakistan, ['pakistan', 'karachi', 'lahore', 'mosque', 'capital', 'asking', 'introduction', 'destined', 'intercontinental', 'jeddah', 'gallery', 'faisal', 'bombing', 'picture', 'doha', 'subdivisions', 'complaints', 'nations', 'throughout', 'agreement']
athens, greece, kabul, afghanistan, ['afghanistan', 'river', 'kandahar', 'afghan', 'valley', 'captured', 'around', 'daily', 's', 'shah', 'weekly', 'peshawar', 'bank', 'capital', 'until', 'zoo', 'soviet', 'government', 'mohammad', 'herat']
athens, greece, london, england, ['the', 'in', 'of', 'one', 'and', 'nine', 'to', 'zero', 'a', 'two', 's', 'eight', 'was', 'is', 'seven', 'five', 'for', 'six', 'by', 'three']
athens, greece, madrid, spain, ['real', 'de', 'one', 'spain', 'universidad', 's', 'nine', 'new', 'la', 'attacks', 'n', 'conference', 'guide', 'publicacion', 'spanish', 'fault', 'del', 'zero', 'train', 'franco']
athens, greece, moscow, russia, ['in', 'one', 'nine', 's', 'russia', 'zero', 'russian', 'soviet', 'two', 'five', 'state', 'on', 'three', 'peace', 'government', 'with', 'kremlin', 'image', 'are', 'university']
athens, greece, oslo, norway, ['accords', 'norway', 'peace', 'no', 'irc', 'israel', 'christiania', 'palestinians', 'copenhagen', 'outside', 'stockholm', 'settlements', 'munch', 'process', 'agreements', 'signing', 'negotiations', 'palestinian', 'interim', 'norwegian']
athens, greece, ottawa, canada, ['canada', 'ontario', 'treaty', 'valley', 'club', 'curling', 'montreal', 'parliament', 'day', 'canadian', 'kingston', 'street', 'chippewa', 'citizen', 'delegation', 'rideau', 'river', 'toronto', 'riel', 'senators']
