athens, greece, baghdad, iraq, ['finland', 'cambodia', 'albania', 'spain', 'bulgaria', 'kuwait', 'iraq', 'hungary', 'turkey', 'seville']
athens, greece, bangkok, thailand, ['thailand', 'tunisia', 'algeria', 'oda', 'williamite', 'uzbekistan', 'adi', 'slovenia', 'ethiopia', 'iran']
athens, greece, beijing, china, ['albania', 'cambodia', 'cameroon', 'angola', 'gabon', 'mongolia', 'kyrgyzstan', 'indonesia', 'bulgaria', 'laos']
athens, greece, berlin, germany, ['germany', 'italy', 'northern', 'hungary', 'turkey', 'iran', 'austria', 'chad', 'southern', 'bok']
athens, greece, bern, switzerland, ['surah', 'quito', 'guadalupe', 'anhalt', 'switzerland', 'vermont', 'flanders', 'tanzania', 'conakry', 'buckinghamshire']
athens, greece, cairo, egypt, ['albania', 'turkey', 'finland', 'italy', 'kazakhstan', 'belgium', 'morocco', 'algeria', 'iran', 'cameroon']
athens, greece, canberra, australia, ['belgium', 'netherlands', 'australia', 'cameroon', 'nsw', 'germany', 'italy', 'nigeria', 'gabon', 'slovenia']
athens, greece, hanoi, vietnam, ['bohemia', 'hungary', 'serbia', 'navarre', 'croatia', 'romania', 'moravia', 'slovakia', 'czech', 'slovak']
athens, greece, havana, cuba, ['cuba', 'hungary', 'afghanistan', 'kyrgyzstan', 'libya', 'croatia', 'albania', 'kuwait', 'cambodia', 'turkey']
athens, greece, helsinki, finland, ['kyrgyzstan', 'finland', 'lesotho', 'kazakhstan', 'thailand', 'romania', 'moldova', 'brazil', 'cambodia', 'belgium']
athens, greece, islamabad, pakistan, ['petsamo', 'innsbruck', 'switzerland', 'belgium', 'konya', 'homonyms', 'hamadan', 'zug', 'marseilles', 'shrouded']
athens, greece, kabul, afghanistan, ['afghanistan', 'bulgaria', 'turkey', 'hungary', 'italy', 'romania', 'syria', 'sicily', 'cambodia', 'chad']
athens, greece, london, england, ['hodder', 'faber', 'routledge', 'britain', 'cassell', 'italy', 'rodney', 'vols', 'sylvester', 'bfi']
athens, greece, madrid, spain, ['santiago', 'gabon', 'moldova', 'mauritius', 'relations', 'chile', 'colombia', 'brazil', 'argentina', 'luxembourg']
athens, greece, moscow, russia, ['belarus', 'russia', 'moldova', 'ukraine', 'romania', 'ussr', 'bulgaria', 'cambodia', 'china', 'lenin']
athens, greece, oslo, norway, ['norway', 'accords', 'belgium', 'dorado', 'hungary', 'yes', 'turkey', 'tanzania', 'romania', 'bulgaria']
athens, greece, ottawa, canada, ['ontario', 'venezuela', 'canada', 'singapore', 'sudan', 'switzerland', 'belarus', 'belgium', 'saskatchewan', 'nigeria']
athens, greece, paris, france, ['france', 'santiago', 'italy', 'spain', 'belgium', 'switzerland', 'ile', 'anterselva', 'germany', 'grenoble']
athens, greece, rome, italy, ['italy', 'turkey', 'emperor', 'saddam', 'spain', 'persia', 'hitler', 'hungary', 'gaul', 'germany']
athens, greece, stockholm, sweden, ['sweden', 'kyrgyzstan', 'norway', 'belgium', 'bulgaria', 'slovenia', 'denmark', 'portugal', 'romania', 'thailand']
athens, greece, tehran, iran, ['iran', 'turkey', 'serbia', 'slovenia', 'warwickshire', 'italy', 'hungary', 'croatia', 'romania', 'thailand']
athens, greece, tokyo, japan, ['japan', 'indonesia', 'taiwan', 'singapore', 'slovenia', 'bulgaria', 'turkey', 'lesotho', 'croatia', 'belgium']
baghdad, iraq, bangkok, thailand, ['jamahiriya', 'cahn', 'vauxhall', 'oda', 'gentis', 'premodern', 'monegasque', 'intelligencer', 'williamite', 'essaios']
baghdad, iraq, beijing, china, ['greenland', 'weizmann', 'iran', 'sesotho', 'lebanon', 'inuit', 'afghanistan', 'dobruja', 'xinjiang', 'rial']
baghdad, iraq, berlin, germany, ['bobwhite', 'tamandua', 'iran', 'bromwich', 'bluie', 'southern', 'dunbartonshire', 'dobruja', 'northern', 'lichtenberg']
baghdad, iraq, bern, switzerland, ['tijuana', 'yunnan', 'nicolae', 'zwickau', 'monegasque', 'guadalupe', 'minot', 'aroostook', 'monod', 'rajasthan']
baghdad, iraq, cairo, egypt, ['lebanon', 'iran', 'egypt', 'syria', 'kuwait', 'afghanistan', 'libya', 'greece', 'turkey', 'morocco']
baghdad, iraq, canberra, australia, ['montezuma', 'australian', 'sergio', 'villeneuve', 'tc', 'cemac', 'lasker', 'nsw', 'declaring', 'mae']
baghdad, iraq, hanoi, vietnam, ['conjugal', 'neustadt', 'serbia', 'marlene', 'isadore', 'iran', 'regardie', 'agape', 'anterselva', 'vojvodina']
baghdad, iraq, havana, cuba, ['lebanon', 'cuba', 'invasion', 'afghanistan', 'kuwait', 'jordan', 'iran', 'malvinas', 'libya', 'invade']
baghdad, iraq, helsinki, finland, ['weizmann', 'jordan', 'klm', 'regardie', 'kyrgyzstan', 'lebanon', 'chung', 'tsinghua', 'greenland', 'espoo']
baghdad, iraq, islamabad, pakistan, ['fossilization', 'hamadan', 'electrophile', 'factionalism', 'fallujah', 'spinrad', 'qinghai', 'abuser', 'famagusta', 'ambon']
baghdad, iraq, kabul, afghanistan, ['afghanistan', 'syria', 'egypt', 'lebanon', 'lacan', 'jordan', 'iran', 'kuwait', 'israel', 'brod']
baghdad, iraq, london, england, ['faber', 'cassell', 'stilgar', 'styx', 'tfl', 'samsung', 'weidenfeld', 'colney', 'disintegrates', 'midland']
baghdad, iraq, madrid, spain, ['jordan', 'impartiality', 'nieces', 'fossilization', 'brod', 'electronegativity', 'vineyard', 'triadic', 'anaconda', 'galeon']
baghdad, iraq, moscow, russia, ['jordan', 'russia', 'lebanon', 'tsarist', 'afghanistan', 'syria', 'kuwait', 'iran', 'regardie', 'najibullah']
baghdad, iraq, oslo, norway, ['iba', 'eichmann', 'brod', 'bizkit', 'iran', 'bubble', 'wa', 'turkey', 'langmuir', 'jordan']
baghdad, iraq, ottawa, canada, ['duesberg', 'villeneuve', 'sadc', 'ontario', 'lebanon', 'fawlty', 'antarctic', 'northeastern', 'whitehead', 'shelley']
baghdad, iraq, paris, france, ['anterselva', 'presse', 'kargil', 'berwickshire', 'jordan', 'solnhofen', 'banque', 'nederland', 'rameau', 'declaring']
baghdad, iraq, rome, italy, ['hannibal', 'egypt', 'bidatsu', 'israel', 'iran', 'invasion', 'saddam', 'caesar', 'emperor', 'gaul']
baghdad, iraq, stockholm, sweden, ['sofia', 'jordan', 'duncan', 'iran', 'kyrgyzstan', 'serbia', 'weizmann', 'turkey', 'lazio', 'lemmy']
baghdad, iraq, tehran, iran, ['iran', 'weizmann', 'warwickshire', 'wuhan', 'villeneuve', 'invasion', 'devolution', 'technion', 'lebanon', 'regardie']
baghdad, iraq, tokyo, japan, ['japan', 'nagano', 'malvinas', 'gyeonggi', 'nagoya', 'narita', 'busan', 'nathanael', 'chungcheong', 'dobruja']
baghdad, iraq, athens, greece, ['egypt', 'syria', 'greece', 'iran', 'afghanistan', 'israel', 'brod', 'lebanon', 'eretz', 'mesopotamia']
bangkok, thailand, beijing, china, ['cornwall', 'bangladesh', 'malm', 'honduras', 'rhodesia', 'angola', 'indonesia', 'greenland', 'iceland', 'laos']
bangkok, thailand, berlin, germany, ['pakistan', 'bengal', 'bangladesh', 'rhodesia', 'iceland', 'indonesia', 'flanders', 'belgium', 'kent', 'northern']
bangkok, thailand, bern, switzerland, ['flanders', 'galicia', 'pakistan', 'philippines', 'nepal', 'bangladesh', 'quito', 'balochistan', 'zimbabwe', 'seville']
bangkok, thailand, cairo, egypt, ['belgium', 'finland', 'seville', 'greece', 'belarus', 'iceland', 'galicia', 'norway', 'bahrain', 'sardinia']
bangkok, thailand, canberra, australia, ['belgium', 'pakistan', 'bangladesh', 'nigeria', 'netherlands', 'sardinia', 'flanders', 'australia', 'wales', 'philippines']
bangkok, thailand, hanoi, vietnam, ['bohemia', 'rhodesia', 'romania', 'hungary', 'croatia', 'belgium', 'moravia', 'serbia', 'bulgaria', 'pakistan']
bangkok, thailand, havana, cuba, ['hungary', 'seville', 'pakistan', 'cuba', 'kyrgyzstan', 'chile', 'finland', 'croatia', 'bulgaria', 'romania']
bangkok, thailand, helsinki, finland, ['kyrgyzstan', 'kent', 'finland', 'honduras', 'norway', 'pakistan', 'belgium', 'rhodesia', 'brazil', 'denmark']
bangkok, thailand, islamabad, pakistan, ['pakistan', 'balochistan', 'belgium', 'seville', 'kaliningrad', 'lahore', 'flanders', 'bangladesh', 'switzerland', 'petsamo']
bangkok, thailand, kabul, afghanistan, ['seville', 'syria', 'pakistan', 'bulgaria', 'sicily', 'kent', 'sardinia', 'belarus', 'romania', 'flanders']
bangkok, thailand, london, england, ['ireland', 'lyon', 'iceland', 'faber', 'bristol', 'bordeaux', 'belgium', 'sardinia', 'mayo', 'zimbabwe']
bangkok, thailand, madrid, spain, ['seville', 'santiago', 'chile', 'honduras', 'portugal', 'brazil', 'colombia', 'argentina', 'spain', 'belgium']
bangkok, thailand, moscow, russia, ['belarus', 'seville', 'philippines', 'kent', 'ussr', 'romania', 'guangzhou', 'iceland', 'portugal', 'indonesia']
bangkok, thailand, oslo, norway, ['norway', 'dorado', 'zambia', 'belgium', 'seville', 'accords', 'sardinia', 'portugal', 'tanzania', 'romania']
bangkok, thailand, ottawa, canada, ['ontario', 'pakistan', 'singapore', 'belarus', 'nigeria', 'belgium', 'philippines', 'punjab', 'saskatchewan', 'sudan']
bangkok, thailand, paris, france, ['france', 'santiago', 'belgium', 'bordeaux', 'seville', 'gaulle', 'pakistan', 'spain', 'provence', 'cartagena']
bangkok, thailand, rome, italy, ['seville', 'portugal', 'spain', 'judah', 'byzantium', 'greece', 'macedon', 'italy', 'gaul', 'norway']
bangkok, thailand, stockholm, sweden, ['sweden', 'norway', 'portugal', 'denmark', 'belgium', 'seville', 'bangladesh', 'kyrgyzstan', 'pakistan', 'bulgaria']
bangkok, thailand, tehran, iran, ['seville', 'pakistan', 'iran', 'romania', 'serbia', 'belgium', 'croatia', 'bangladesh', 'norway', 'slovenia']
bangkok, thailand, tokyo, japan, ['indonesia', 'bangladesh', 'pakistan', 'malaysia', 'singapore', 'belgium', 'rhodesia', 'guangzhou', 'taiwan', 'bulgaria']
bangkok, thailand, athens, greece, ['greece', 'iceland', 'galicia', 'mesopotamia', 'syria', 'bulgaria', 'finland', 'seville', 'pakistan', 'ireland']
bangkok, thailand, baghdad, iraq, ['seville', 'finland', 'spain', 'galicia', 'belgium', 'portugal', 'cambodia', 'iceland', 'bahrain', 'pakistan']
